253,487,{15333}
254,1220,{8964}
255,964,{8965}
256,571,{8968}
257,3059,{9007}
258,2596,{15648}
259,809,{15724}
260,1584,{15732}
261,993,{15800}
262,243,{15801}
263,1084,{9017}
264,810,{9041}
265,3070,{15942}
266,1897,"{15948, 15954}"
267,2575,{16074}
268,41,{16188}
269,2513,{9399}
270,1985,{9404}
271,2595,{16319}
272,2614,{16348}
273,78,"{12232, 9604}"
274,2960,"{12773, 9620}"
275,1769,"{18049, 16736}"
276,1373,{16830}
277,958,{16846}
278,1953,{16928}
279,1957,{9964}
280,2418,{17175}
281,223,{17260}
282,489,{17397}
283,1518,{17445}
284,1899,{10305}
285,2121,{10368}
286,1927,"{15658, 10369, 15641, 12443}"
287,2627,{10377}
288,24,{10392}
289,331,"{15651, 10393}"
290,1044,{17818}
291,3021,{17915}
292,2511,{17949}
293,2289,"{17588, 16971, 10674, 10681}"
294,1372,{10708}
295,69,{10711}
296,2578,"{11216, 10755, 10727}"
297,1370,"{11057, 11036}"
298,1521,"{11114, 3642, 11116}"
299,1124,{11130}
300,2062,{18438}
301,2475,{18642}
302,2260,{11508}
303,2288,{11535}
304,1903,{11938}
305,1198,{11947}
306,2368,{12018}
307,2689,"{12337, 8680}"
308,333,{12347}
309,1342,"{9280, 9511, 12860, 7271, 12861, 9064, 12855, 7273, 12350, 12858, 1205, 7246}"
310,2530,{12379}
311,2692,"{12739, 12747}"
312,1488,{12745}
313,2642,"{12714, 3186, 12746}"
314,812,{13127}
315,1567,{13136}
316,1185,{13154}
317,533,{13462}
318,2232,"{16748, 13478}"
319,582,"{8069, 13494, 13257, 13251, 13242, 18039, 13259}"
320,675,{13810}
321,1746,"{10206, 16963, 17023, 13855}"
322,2320,{13879}
323,972,"{13609, 14118, 7361, 14119}"
324,1244,"{18422, 14121}"
325,2016,{14136}
326,929,{14541}
327,1888,{14575}
328,246,{14579}
329,3081,{14602}
330,2397,"{9227, 6430, 6447, 15072, 17490, 6400, 6388, 11235}"
331,105,{15094}
332,1197,"{15096, 15097}"
333,2333,{15114}
334,2719,{15129}
335,660,{15547}
336,2122,"{15576, 15555}"
337,2868,{15589}
